Analyzing projectcrcc2026...                                    

   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:24:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:43:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:67:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:95:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:111:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:128:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:155:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:168:7 - avoid_print
   info - Don't invoke 'print' in production code - lib\E-commerce_project\common\services\cache_service.dart:183:7 - avoid_print
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\E-commerce_project\common\widgets\appbar.dart:289:26 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\E-commerce_project\common\widgets\appbar.dart:290:24 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\E-commerce_project\common\widgets\appbar.dart:302:26 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\E-commerce_project\common\widgets\appbar.dart:303:24 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\E-commerce_project\common\widgets\appbar.dart:306:30 - use_build_context_synchronously
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:30:31 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:32:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:35:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:72:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:89:40 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:226:29 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\common\widgets\station_cards.dart:255:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\homepage\homepage.dart:327:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\login\loginscreen.dart:696:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\login\loginscreen.dart:748:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:173:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:174:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:175:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:193:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:234:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:238:47 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\auth\onboarding\onboardingscreen.dart:336:38 - deprecated_member_use
   info - Don't use 'BuildContext's across async gaps - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcement_controller.dart:42:28 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcement_controller.dart:58:28 - use_build_context_synchronously
   info - The file name 'announcmentScreen.dart' isn't a lower_case_with_underscores identifier - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:1:1 - file_names
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:89:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:91:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:144:54 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:147:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:152:47 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:205:57 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:258:59 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:320:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:324:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:281:48 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:368:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:370:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:466:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:524:42 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:535:47 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:544:47 - deprecated_member_use
   info - The variable name '_HUDLabel' isn't a lowerCamelCase identifier - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:564:10 - non_constant_identifier_names
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:572:26 - deprecated_member_use
   info - The variable name '_HUDCorner' isn't a lowerCamelCase identifier - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:582:10 - non_constant_identifier_names
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:635:48 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:645:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:705:61 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:717:49 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:746:54 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:872:37 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\cairoscreen.dart:916:41 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\events.dart:106:51 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\events.dart:129:61 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\events.dart:137:62 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\E-commerce_project\features\mainprog\screen\catogriesScreens\events.dart:156:60 - deprecated_member_use
