Analyzing amiraly...                                            

   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\app\common\widgets\appbar.dart:290:26 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\app\common\widgets\appbar.dart:291:24 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\app\common\widgets\appbar.dart:303:26 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\app\common\widgets\appbar.dart:304:24 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps, guarded by an unrelated 'mounted' check - lib\app\common\widgets\appbar.dart:307:30 - use_build_context_synchronously
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:30:31 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:32:50 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:35:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:72:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:89:40 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:156:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:174:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:244:29 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\common\widgets\station_cards.dart:273:35 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\homepage\homepage.dart:330:45 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\login\loginscreen.dart:697:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\login\loginscreen.dart:749:33 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:173:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:174:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:175:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:193:34 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:234:43 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:238:47 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\app\features\auth\onboarding\onboardingscreen.dart:336:38 - deprecated_member_use
   info - Don't use 'BuildContext's across async gaps - lib\app\features\mainprog\screen\catogriesScreens\announcement_controller.dart:42:28 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps - lib\app\features\mainprog\screen\catogriesScreens\announcement_controller.dart:58:28 - use_build_context_synchronously
   info - The file name 'announcmentScreen.dart' isn't a lower_case_with_underscores identifier - lib\app\features\mainprog\screen\catogriesScreens\announcmentScreen.dart:1:1 - file_names
